name,url,category,pricing,short_description,target_users,verify_status
AlphaSense,https://www.alpha-sense.com,Research & Analysis,Enterprise,"AI-powered market intelligence platform searching millions of research documents, filings and earnings transcripts.",Institutional analysts,pending
Hebbia,https://www.hebbia.ai,Research & Analysis,Enterprise,"AI agent platform (Matrix) for deep document analysis across filings, decks and data rooms.",Hedge funds / PE / IB,pending
Kensho,https://kensho.com,Research & Analysis,Enterprise,"S&P Global's AI unit: NLP, transcription and entity-linking for financial data.",Institutions / data teams,pending
Daloopa,https://daloopa.com,Research & Analysis,Paid,"AI-extracted fundamental data and auto-updating financial models from filings.",Buy-side / sell-side analysts,pending
Fintool,https://fintool.com,Research & Analysis,Paid,"ChatGPT-style equity research copilot over SEC filings and earnings calls.",Equity analysts,pending
Rogo,https://rogo.ai,Research & Analysis,Enterprise,"AI analyst for investment banks and asset managers, trained on financial workflows.",IB / asset managers,pending
Brightwave,https://brightwave.io,Research & Analysis,Paid,"AI research assistant generating investment research drafts from filings and news.",Investors / analysts,pending
Fiscal.ai (FinChat),https://fiscal.ai,Research & Analysis,Freemium,"AI-assisted fundamental data terminal with conversational stock research.",Retail & professional investors,pending
Quartr,https://quartr.com,Research & Analysis,Freemium,"Earnings call audio, transcripts and AI summaries for listed companies.",Investors / IR teams,pending
Aiera,https://aiera.com,Research & Analysis,Enterprise,"Real-time event transcription and AI summarization for earnings and conferences.",Institutional investors,pending
QuantConnect,https://www.quantconnect.com,Trading & Quant,Freemium,"Open algorithmic trading platform with cloud backtesting and live deployment.",Quant developers,pending
Composer,https://www.composer.trade,Trading & Quant,Freemium,"No-code AI-assisted strategy builder and automated trading app.",Active retail traders,pending
Trade Ideas,https://www.trade-ideas.com,Trading & Quant,Paid,"AI stock scanner (Holly) generating intraday trade signals.",Day traders,pending
Danelfin,https://danelfin.com,Trading & Quant,Freemium,"AI stock scoring (1-10) based on hundreds of technical and fundamental signals.",Retail investors,pending
Kavout,https://www.kavout.com,Trading & Quant,Freemium,"K-Score AI equity ranking and portfolio tools.",Retail / advisors,pending
Numerai,https://numer.ai,Trading & Quant,Free,"Crowdsourced hedge fund: data scientists submit ML models on encrypted data.",Data scientists,pending
Tickeron,https://tickeron.com,Trading & Quant,Freemium,"AI pattern recognition and trading bots for stocks, ETFs, forex and crypto.",Retail traders,pending
Zest AI,https://www.zest.ai,Credit & Lending,Enterprise,"AI credit underwriting models improving approval rates with fairness controls.",Banks / credit unions,pending
Upstart,https://www.upstart.com,Credit & Lending,Enterprise,"AI lending marketplace using non-traditional variables for credit decisions.",Lenders / borrowers,pending
Scienaptic AI,https://www.scienaptic.ai,Credit & Lending,Enterprise,"AI credit decisioning platform for banks and credit unions.",Lenders,pending
ComplyAdvantage,https://complyadvantage.com,Risk & Compliance,Enterprise,"AI-driven AML screening, sanctions and adverse media monitoring.",Compliance teams,pending
Unit21,https://www.unit21.ai,Risk & Compliance,Enterprise,"No-code fraud and AML operations platform with AI agents.",Fintech risk teams,pending
Sardine,https://www.sardine.ai,Risk & Compliance,Enterprise,"Behavior-based fraud prevention and compliance platform.",Fintechs / banks,pending
Feedzai,https://feedzai.com,Risk & Compliance,Enterprise,"Real-time transaction fraud detection with machine learning.",Banks / PSPs,pending
Featurespace,https://www.featurespace.com,Risk & Compliance,Enterprise,"Adaptive behavioral analytics for fraud and financial crime.",Banks / card issuers,pending
Hummingbird,https://www.hummingbird.co,Risk & Compliance,Enterprise,"Compliance investigations and SAR filing workspace with AI assistance.",AML investigators,pending
Greenlite,https://www.greenlite.ai,Risk & Compliance,Enterprise,"AI agents automating AML/KYC alert review for fintechs and banks.",Compliance teams,pending
